"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.05750050400195e-132,1.60045426807707,0.466,0.213,9.55682932535888e-128,"11","TREM2"
1.50212261175971e-124,1.57748164216856,0.379,0.149,4.69518464757731e-120,"11","HTRA1"
5.15795643713264e-80,1.55589273755509,0.519,0.319,1.61222244355455e-75,"11","CCL3"
7.2501353824497e-78,1.54344764657272,0.493,0.288,2.2661748164923e-73,"11","IER2"
5.48854640888278e-135,1.54051609348572,0.787,0.52,1.71555495102449e-130,"11","FOS"
4.55536971784755e-56,1.5361937093686,0.355,0.198,1.42387191270761e-51,"11","PPP1R15A"
3.50776860790156e-95,1.51171992310875,0.287,0.108,1.09642323377179e-90,"11","BHLHE41"
2.46435432937109e-62,1.50705597967936,0.309,0.153,7.70283232731522e-58,"11","IER5"
4.9983375251441e-112,1.49869123564312,0.319,0.117,1.56233036023429e-107,"11","LNCAROD"
6.60457417941851e-89,1.48028922553034,0.405,0.198,2.06439175126084e-84,"11","BTG2"
1.97336331192179e-132,1.46359127244198,0.472,0.211,6.16814170407394e-128,"11","GSN"
4.99610902019333e-112,1.46341902520012,0.461,0.217,1.56163379644183e-107,"11","APOC2"
7.72395598728098e-83,1.45556109580774,0.584,0.376,2.41427692294442e-78,"11","JUNB"
1.64540889273492e-94,1.45179862649074,0.262,0.093,5.14305457602153e-90,"11","PALD1"
1.25817305413606e-69,1.44666570682593,0.288,0.128,3.9326715153131e-65,"11","MYO1E"
6.2485815933526e-41,1.44563583745904,0.301,0.17,1.95311914863422e-36,"11","ATF3"
2.8574054491716e-113,1.43391434134561,0.314,0.113,8.93139221247568e-109,"11","P2RY12"
3.14422168689416e-105,1.43016997015341,0.309,0.114,9.82789372672509e-101,"11","CSGALNACT1"
4.5930384203804e-181,1.41955830920853,0.553,0.222,1.4356460190583e-176,"11","FRMD4A"
4.54949564890665e-118,1.40185052695827,0.498,0.242,1.42203585497875e-113,"11","ZFP36L2"
2.18824022103406e-70,1.39825699053354,0.305,0.138,6.83978245888617e-66,"11","DDIT4"
7.71712711565413e-53,1.37512733057937,0.337,0.183,2.41214242254001e-48,"11","ENSA"
2.084671823937e-57,1.37042548060345,0.34,0.18,6.51605872007988e-53,"11","CXCR4"
3.78646275024108e-128,1.3604303612944,0.475,0.208,1.18353466184285e-123,"11","SFMBT2"
3.9675802348757e-87,1.34299768190877,0.538,0.325,1.2401465540151e-82,"11","CD83"
2.78032326760272e-96,1.32943684408791,0.375,0.163,8.69045643754583e-92,"11","LHFPL2"
2.43317913518855e-135,1.31813602518444,0.464,0.192,7.60538802285885e-131,"11","OLR1"
9.07066509468256e-67,1.31514908576458,0.261,0.11,2.83521778864493e-62,"11","PRKCH"
4.16225771327548e-104,1.30325779336799,0.399,0.172,1.30099689343852e-99,"11","GPR34"
5.82733382649921e-46,1.29568179598889,0.335,0.192,1.82144973414886e-41,"11","NR4A2"
1.08535913930914e-101,1.29007857439252,0.423,0.193,3.39250706173858e-97,"11","SRGAP2"
5.02676268261897e-129,1.27611397941959,0.545,0.262,1.57121521170621e-124,"11","RGS1"
2.8915929835766e-129,1.27383762176398,0.505,0.229,9.03825218876537e-125,"11","FKBP5"
2.42732669989442e-87,1.25354087251245,0.423,0.21,7.58709506585998e-83,"11","IFNGR1"
3.63178152821254e-74,1.24442187214549,0.379,0.189,1.13518595227339e-69,"11","TSC22D3"
2.61243153897694e-58,1.24345641619214,0.318,0.158,8.16567726138021e-54,"11","NHSL1"
5.66118990374504e-65,1.23791760441904,0.536,0.357,1.76951812821359e-60,"11","CEBPD"
5.73923731283929e-157,1.21814825047831,0.566,0.246,1.79391340687418e-152,"11","LDLRAD4"
9.55515274394476e-66,1.2153807331576,0.283,0.125,2.98665409317481e-61,"11","CX3CR1"
1.66234816731123e-78,1.20777048756921,0.384,0.186,5.19600166656471e-74,"11","HSPH1"
2.54366806251594e-56,1.20295434245778,0.329,0.17,7.95074326300608e-52,"11","SERPINB9"
